Sport_Name,Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
football,0,0.17706318625561232,0.772499960372487,0.30047529695119457,-1.067539447924915,-0.4466092024463004,-0.8409437996290815,0.07632725180934942,-2.273608815384441,-0.5378869510794261,0.9806698904598385
swim,1,-1.373068038349955,-1.1484909874521525,-0.18133162271450237,0.4956906455371515,-0.524627633311149,-0.7161640944488022,-0.28790726180624443,0.3532935165091686,-0.6043114057133481,0.9942429003032958
basketball,1,-1.1054876827966813,-2.1954854679932727,-0.40100920073357016,0.7801099441415739,-0.38926058355180604,0.6211641878047448,-0.5010953583870645,-0.2087411960484209,0.3890326757238548,0.15440720312052073
basketball,1,-2.718337806992319,-0.5812069333637472,-1.5930534092141664,-1.1225860863787935,1.084657261197873,2.0547505789740232,0.33578522036326247,1.5346296188050799,-1.5596319575351534,-0.146670594360078
soccer,0,1.1296109824122536,1.2695018454519753,-0.053753905887472975,-0.41039079792694766,-1.2643187598681376,-0.9581256613999608,1.4053491723177258,-1.6566116558297506,-1.6898852749031839,1.2342049099068457
football,0,0.39014278739978436,0.9262513560952905,-1.0054620525480453,-0.27276033219931817,0.49771645421899846,0.5661942947550802,0.13643058799920216,-0.10695792029854714,0.23807463333013873,0.7756704456209137
soccer,1,-4.521188547410127,-0.7114330476467285,-0.2722963811133099,-0.5366097984722814,-0.49122199375813375,0.48251690544166015,0.7327585231407717,0.5589571584446366,0.1664613904375009,-0.9256041344834058
tennis,1,-6.386801443026337,2.0581582289373213,0.9357791602721762,-0.3185648690053698,-0.2585850348453866,0.7884642285006382,-1.308272953953884,-1.1094699926645912,0.9102052207573552,-0.6349450820855256
soccer,1,-1.2382731512284104,1.2318309042859656,-1.0339839820787815,-0.34911041452817443,0.9839014638745592,-0.47678405889636283,-1.1792282838027808,0.012038261872909335,-0.1563715386080182,-0.4485424063749634
soccer,0,1.214905746319025,-2.1915824684071588,-1.700767677212704,-0.46726996660050346,0.5980774356225657,0.014760679878358015,0.4260775110656594,0.9120827078242125,-0.5882510805727544,-0.7067110086503603
basketball,1,-2.659715083592351,-0.34988635390644784,-0.7831313484068753,-0.6208753719958351,0.6565847958100797,-0.811768827822275,-0.00802294085833185,-0.28399874656174606,0.4631044194607391,-0.908951232642024
football,0,4.20682842847637,1.6934128192720947,1.672196934594267,-1.145336627010348,-1.195881569446075,0.0527335334752092,-0.4746380055508507,2.405988387276329,0.4441883806648483,-0.6332496355808438
tennis,1,-4.184923913241523,0.03834965115601374,0.511737467455525,0.9625873431732638,0.01874166092447175,-1.7802653394553893,-0.8173796243974316,0.5299656791959182,0.23015684770798012,-0.5857041495997114
,1,-2.147740241534061,1.9317799535606588,-1.1357013283619521,-0.5070158424321137,0.7302860605024333,-0.4463514511629237,-1.281497995834587,-0.14834235701458331,0.4354097207601001,-0.34763476839074486
track,0,1.544990712324922,3.021006842203916,0.34416561401914664,-0.9033273431559704,-1.8731071320842958,-0.04719172163102998,0.6453715486064443,1.119680542759416,-0.11206620600592862,-0.18388616297368443
rowing,1,-0.5687609831381701,-2.754932424732114,1.134667930995656,-0.1902659821036386,-0.9580302786454954,0.5239444653634623,-0.5647093117402121,-1.420462328373722,0.07388927582449314,-0.055086036804603625
,1,-3.348456311958355,-1.1406850050252526,-0.7565761978289558,-0.030423799886002075,-1.255165817223417,1.641198284141099,0.535915943994987,1.0215472641352785,-1.1237225280611798,-0.5405947452112624
,0,0.04174495052383248,1.3576315724946029,2.978730375359153,-2.919428259869775,0.06611262566854266,-0.4546401590807795,-0.3423126375020707,0.481151918863068,-1.5901420107915032,-0.5298091344227449
baseball,1,-1.1563735653275846,-0.0011458759646142502,0.5991298778289841,0.3242590322934862,1.6056115386527994,-0.026348535491429695,0.5363755716405175,-0.2558191425813342,1.0739307231403006,0.9653709445740231
soccer,1,-0.47003592145175993,-0.30861491209026864,-1.2099630484451551,-0.8559612079031221,-0.0037052866957561913,-0.702306134458274,0.4618202023137149,0.27734220873448545,-0.005734135754708362,0.03558446473654393
soccer,0,0.5742124008683142,-1.3932032725941677,-0.1071444170908641,1.4603276235369442,1.7455492284530543,2.0013896548889383,-0.6580181628773951,-0.08358729389805813,0.7280700969019366,-1.340117692158032
track,0,2.0843499990958843,1.8444773332249644,-2.0088396378986646,-0.8860492933336059,0.6849993010242134,-2.291064676770881,-1.0528510485322915,-1.8757463151413893,1.2856571742840384,-0.9231261662645016
,0,0.17432516379470306,-1.9759179439547714,-1.8057338537169216,-0.9765886855414345,0.4685400014364929,1.7186102331047821,-0.262967381862878,0.6830815840583944,-1.2591419334099987,0.501470303970887
bowling,0,4.3011615698928365,-1.2349179739261076,-1.3444937299614481,0.710614036176861,-0.7502116312213344,1.8085729938945456,0.323965163519546,-0.39150371532858136,-0.8850141765666039,-0.30198568556669875
soccer,1,-2.3190230574197694,-2.3730805988635604,0.12933495975797032,-0.4546676355492638,0.3036642688646167,0.28168742325308616,1.1327975053626413,-0.7697819554407391,0.9108773070812543,0.9216909640467836
,0,0.7844915496863439,-2.0448083548901765,2.4280499534030415,0.979143335835292,2.4638357622655174,-0.2850783353315104,2.5843588544529053,-2.7208137554175265,0.14215054091214338,2.3362869507683035
track,1,-6.1804147174071655,2.2447595720875873,-0.0061603735388897265,-0.1590425804170941,-0.10332042855518328,-0.11746273809082328,0.40196007406985507,0.2805612565246499,0.22029619492624924,0.18696720501208292
,0,2.273916034975283,0.8305116718601604,-1.2383767797881322,0.6105803768713388,0.6192826642054913,0.8219437352993842,0.257822235381572,0.03167496473296617,0.3344960457944848,-1.171765227468668
,1,-0.15147361385441346,-0.28263690696413524,-0.5784669692515944,0.8029930388359068,-0.590154706144619,-0.17168566024651974,-0.8650870649281959,-0.7901324642723546,1.0545878124478212,-0.2533911941039909
swim,1,-0.4286120271425932,-2.2005092989269714,-1.0509378816027837,-0.40418501094485154,-0.7962340939344386,0.04245327224963177,-0.16188564360557645,-0.4016942727149921,0.9665288917482003,-1.2508617244418685
,0,0.5105979557692565,0.6298811340105955,2.0419188991836625,-1.850914421470808,-1.6135865612426994,-0.6091078028652651,-0.33604693102521876,1.3856085952047617,-0.7082347914245037,-0.5358382560843646
soccer,0,3.125528902669683,-0.8272196665817406,-0.24577508433327175,-0.4490734824340539,-1.4844267417379065,1.003544987259561,-0.07548540722254721,-1.2762960710157374,-0.41688136939323767,-0.47116598309318003
football,1,-4.432103768359328,0.23168369669723018,-0.44996420738188614,-0.496796056597084,1.478911082013762,0.846367416306128,-0.460961964581045,-0.33433660620448447,0.45916145983080764,0.36191720385299697
swim,0,2.5714993391774184,1.1254750676800924,-0.2592355461581121,2.147454777334599,-0.48360116745422455,0.09149653781125204,-1.0727774089130218,1.0006811044955746,-0.35186565157968996,0.16513348777020945
swim,0,2.8744589290777096,-1.1181371187259297,-0.6298739615356422,0.9309060508701641,0.7807940162534723,0.330312190940758,1.276076044220792,-1.4243284086740924,-0.023307284460355637,1.5820158854765818
,1,-0.5441268518646076,-0.5110242649722997,-0.6464225097094081,0.0685027882805462,0.18311448393711016,1.5151884520246044,-0.05170727937763205,1.2193570577025656,1.1822797885090413,1.6998094815416243
tennis,1,-3.8508813320506525,2.8001230394961256,-0.8513981917357278,-0.7316439531541649,0.39144577764505695,-0.7756513785390866,-1.5774688567789918,-0.6507043795963894,0.9571261276438756,-0.04019335581701667
,0,4.541707957250199,-0.44956991123483053,-1.8821019467367137,-0.09400224216143394,0.9071752848762062,0.452967928522423,0.021392126413735967,0.2457514184301705,0.4481957731770699,-0.33868788553096146
,0,2.586042244992685,0.4854739317270633,-1.3834900663818464,-0.391028587703431,-0.537289687429022,-0.4714782090839736,-0.38578988778207357,-0.06575737294294765,1.312832438774428,-1.2773560208942885
,1,-0.2524925870161009,-0.178324777479102,-0.39545845264127916,0.4571738802158133,-1.3548066280244822,-0.14185298488964412,0.3034787524104329,-0.7865818966411193,0.3896781309372749,1.0415435061675724
basketball,1,-4.692593653609901,-0.30295758289077546,0.21785348855833567,0.19333652311682475,0.6738197917616047,-1.773275416443983,-1.203613207557832,-0.7956788127949632,-0.7090408296509956,-0.3523892248525945
,0,0.7408281565291828,0.40217078960860614,1.2670533477729418,2.915481715495164,0.36465027456071103,-1.0869259336457688,0.2556127309599993,0.8397320419564615,-1.2751211497155215,0.157708370165916
baseball,0,0.34060817020209794,1.201334386335324,-0.8221468153517231,0.3934030632707404,1.284594079129956,-0.980763771200216,-0.20563219359649945,-0.010144086707802855,0.4368824091869109,-0.8924045971569737
,0,2.2277435234948633,-0.31762218619241506,-1.2667955463467462,-0.4112567142457276,-1.5538389126460261,-0.17884840345881564,0.3642953628671889,-0.6367773633805595,1.1350329590123138,0.358389914670188
soccer,1,-0.2831126852574389,-0.9028716871424612,0.828888513710635,-2.274508812761258,0.31166544159278764,-0.45601271795139037,-0.3003769342425462,0.8973103058500855,0.9329121639410015,0.06898457697130138
,0,1.4366204638086695,1.0955603005520722,-2.7232835365631716,-0.6047242397081535,-0.9422337102203192,1.209149659786887,-1.0281064197182157,1.193555757420243,1.2869519278713581,-1.5283676281184146
,1,-0.26438602814945966,0.30649040720630083,2.093365646297496,1.6270264449858696,2.1599548611072104,2.222198823037811,0.9666311265712842,-1.6361922397393316,-0.5551224470673597,1.791607628445583
,0,1.5989628296038498,0.35856900307031625,-0.19218493687928004,1.0711593999640363,0.2508843767226838,-0.025768114827427475,0.9938460348479904,1.3253247950134504,-0.7986982788068834,-0.6854482021067021
cheer,1,-1.4624959859898237,0.4995158118488853,1.8162005766803537,-1.6203176791451401,0.9714584251319178,-0.6006773423137377,0.19370332675766405,-0.2898088077733794,0.2637186212332244,-1.9642034806842075
basketball,1,-3.6555127521537827,-0.23415603477324684,3.5216064500191187,-2.886199265017841,0.1529511900604048,0.5918819383787652,-1.3977270398877493,-0.1932296309285519,-0.5614202760000879,-0.09065681983406745
soccer,0,2.793432039373389,-1.9364429530270626,-0.5318651715026808,0.47208977282443737,-0.8500484790982588,1.23228812994698,-0.036105372006640095,0.37910395558361737,1.2870748664759337,-0.07837319381165017
,1,-1.2635625691185024,0.7658418758893655,-0.8194596524376925,0.13515767357880773,0.8648836555758977,0.6820485740207433,0.9657856172639943,0.7171991347179321,-1.4581861157954612,-0.08321299094847663
,1,0.0984650403538418,-2.1834768372941826,-0.9885932152412122,-0.990536334655711,0.8510858196752894,-1.0617409325793763,-0.5816752372539012,-0.29872565407814916,0.1298094760410605,-0.502574665075702
