Sport_Name,Cluster_2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
football,1,-0.4387167451367785,-0.4799636209161842,0.20175972813010942,-0.7522978396686377,0.14858730850511667,0.557940089471021,-0.24506598763338994,0.6546930841359535
swim,1,-0.7630530487299696,0.15080215232007682,0.9294142122469111,0.023575903402101528,0.65802232513646,-0.02331074815180606,0.49003500904165076,0.19515769923436851
basketball,1,-0.5975670559342873,0.12549893864028178,-0.14123202959100298,-0.4556029066972883,-0.24019403034241063,0.32504372303655615,-0.1368390365566486,-0.21525958265616438
basketball,1,-0.6542767999533702,-0.058049312510391055,1.2239773661946742,-0.28890318176967533,0.22065283595260163,-0.09527046644404508,0.4719234216728244,0.4658186817038429
soccer,1,-0.47248033828147107,0.4325200593889795,0.1068422246190994,0.8042293301299469,0.8145678129858289,0.18868928860022355,-0.4776993884152484,0.6251659448428141
football,1,-0.7013798442044329,-0.031417883049404044,0.8149660816098987,0.1879777426668947,0.4029517399872473,0.3427545368425015,-0.3479267309091006,0.11023301377832026
soccer,1,-0.681860408170807,0.2820674025280292,0.49262868723098185,0.07755761363760261,-0.28023742773522103,-0.08811334489858341,-0.3348080601799063,-0.004540301648223444
tennis,1,-0.6592402604598239,0.30771897400976267,-0.026783898953990568,-0.6200047459620814,0.014876554806802084,-0.04102156195775142,0.7011227033941028,-0.1303348972001161
soccer,1,-0.681860408170807,0.2820674025280292,0.49262868723098185,0.07755761363760261,-0.28023742773522103,-0.08811334489858341,-0.3348080601799063,-0.004540301648223444
soccer,1,-0.38425195239516596,-0.8886846848545722,0.6863519572162073,0.29679198073367274,-0.10783674776415661,0.17967226652850715,-0.12218368829872692,0.8644805678019508
basketball,1,-0.5347419712044204,0.03262016881895741,-0.6832730919263822,0.5183509777031446,-0.3984170143118537,0.3447692503933687,0.14112690130709207,-0.2605860888388908
football,0,1.4727313321996243,-0.579017685406112,0.1489805212243088,0.03646232831617863,0.6382382795186095,0.2509312973798856,-0.09899748025194534,-0.6127917353294435
tennis,1,-0.5975670559342873,0.12549893864028178,-0.14123202959100298,-0.4556029066972883,-0.24019403034241063,0.32504372303655615,-0.1368390365566486,-0.21525958265616438
,1,-0.6159346117635829,-0.09864508138899503,-0.24648756691045295,0.4643692674676435,0.5398427385598273,0.40957184714014605,0.9659699705286492,-0.0608880879562988
track,1,-0.6204106592802109,0.19667823624422145,0.440743261031623,0.07724746152210527,-0.3570453953837541,-0.14841881004050983,-0.3930396190351121,0.17183496337119622
rowing,1,-0.3633820870990364,-0.33007691100189895,-1.0872465903902295,0.41168473341380485,0.13351166648049903,-0.5008117122693367,-0.2842395907676992,-0.08439070464342488
,1,-0.6735001161825525,0.597909696645093,-0.5340046041904952,0.002421677635725039,-0.18203635543539087,0.309880005400743,-0.1797244216508286,-0.259654291496947
