Sport_Name,Cluster_2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Cluster_2_Label
football,1,-0.43871674513677766,-0.479963620916178,-0.20175972813011198,-0.7522978396686347,0.14858730850512017,-0.5579400894710186,-0.24506598763338988,0.6546930841359534,Contact
swim,1,-0.7630530487299677,0.1508021523200756,-0.9294142122469109,0.023575903402097975,0.6580223251364622,0.02331074815181239,0.4900350090416516,0.19515769923436507,Contact
basketball,1,-0.5975670559342875,0.12549893864028283,0.14123202959100295,-0.4556029066972889,-0.24019403034240902,-0.3250437230365576,-0.13683903655664656,-0.21525958265616404,Contact
basketball,1,-0.654276799953371,-0.05804931251039116,-1.223977366194675,-0.2889031817696775,0.22065283595260463,0.09527046644405081,0.4719234216728217,0.46581868170384005,Contact
soccer,1,-0.47248033828147146,0.43252005938897936,-0.10684222461909969,0.8042293301299498,0.8145678129858277,-0.1886892886002299,-0.4776993884152476,0.6251659448428141,Contact
football,1,-0.7013798442044331,-0.031417883049402955,-0.8149660816098985,0.18797774266689649,0.4029517399872468,-0.3427545368425032,-0.3479267309090984,0.11023301377831944,Contact
soccer,1,-0.6818604081708074,0.28206740252803,-0.4926286872309811,0.07755761363760247,-0.28023742773522226,0.08811334489857946,-0.3348080601799057,-0.004540301648223083,Contact
tennis,1,-0.6592402604598242,0.30771897400976134,0.026783898953990172,-0.6200047459620844,0.014876554806803255,0.04102156195775816,0.7011227033941025,-0.1303348972001181,Contact
soccer,1,-0.681860408170807,0.28206740252802964,-0.49262868723097986,0.07755761363760141,-0.28023742773522253,0.08811334489857896,-0.3348080601799055,-0.0045403016482231185,Contact
soccer,1,-0.3842519523951664,-0.8886846848545702,-0.6863519572162085,0.2967919807336727,-0.10783674776415668,-0.17967226652850796,-0.12218368829872481,0.8644805678019487,Contact
basketball,1,-0.5347419712044199,0.032620168818956796,0.6832730919263814,0.5183509777031422,-0.3984170143118544,-0.3447692503933691,0.1411269013070962,-0.26058608883889023,Contact
football,0,1.4727313321996254,-0.5790176854061113,-0.14898052122430977,0.03646232831618238,0.6382382795186088,-0.2509312973798833,-0.09899748025194338,-0.6127917353294438,Collision
