Sport_Name,Cluster_3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Football,0,0.46759577120139495,-0.5716611688745353,-0.1289264022813937,-0.1758300482545576,-0.6401301512981077,-0.8587547741448597,-1.7002107010754772,0.7951154389678696,-0.9045828465439923,0.004924956534076956,0.7550990214125182,0.7167087687475908,-1.1732992176697894,-0.2561851510751648,-0.03394627591533865,-0.46290507680710974,-0.30151885687821667
Swim Team,2,-1.0687082779896642,-0.3987263473316951,-0.578525196520858,-1.1154437438316236,0.3998821950863334,0.30259174688326707,-0.6298352607650377,-0.016634447023692184,-0.7491873816511441,-1.059384154695812,-0.5341034454830392,-0.5377620401702528,0.35867292776538057,0.1780777977633005,0.187043154480253,0.31017972624528495,-0.5852846169263689
Basketball,2,-0.7877667479168643,0.017082362033167747,-0.4466725451840582,-1.8988168417079148,0.3261286395367963,-0.46518545290861923,0.7447750946440501,-0.5287063049633975,-0.9344812803496918,0.47477483847138735,0.5976273763362733,-0.055933036892187954,-0.06557188570305521,1.0680023653749944,0.38698903597406703,0.15166508313333651,0.2666092919462572
Basketball,2,-3.071583891696861,1.917172210818714,0.3920499394561888,0.2874480747129333,-0.207813668128883,-1.263742403013102,1.1737807743388973,1.2871278484024793,-0.9214489260173354,0.026702280257763108,-0.6690770032295651,0.9745598767574127,1.5609386779166323,-0.32005688678861494,-0.03451195017723259,-0.23016294041374097,0.5378880867768392
Soccer,0,1.3345643916454182,-1.4113054263780385,1.143994439607849,0.2159069379631724,-0.6583062292142261,-0.46074220383720055,-2.2759951538677896,0.9971732301719488,0.3172511846496628,0.011236980634683615,-1.1785969843125568,0.46038261953207193,0.6099976345006687,0.8840714948013961,-0.9205484481699334,-0.25259649361756803,-0.010617052681028666
Football,0,0.09301018468017568,-0.5957562250530418,0.1358273859640075,0.6889923969245595,-0.6849117740499909,-0.4677902183014419,0.7371316893708515,0.9114908221022928,0.1843893492749302,-0.8841636888291967,0.6547948987554532,-0.5200303562441234,0.1381477465051206,-0.32561355876390446,-1.0406549087094035,0.29218555116104,0.6757357091369016
Soccer,2,-4.378754670458176,-0.2636177371331395,0.8418378925120964,0.021110696065999923,0.16898698178629085,-0.454071812325371,0.03885759771979695,-0.012996711616190785,-0.699209915917292,0.34461848317009813,0.8588788305800086,0.3052813795402249,-0.46262670290445546,-0.26619050242055975,-0.342474649395602,-0.04102294880607647,-0.4635421086832282
Tennis,2,-6.074964702413597,0.9185283572032293,-1.0119550321092114,1.5387529208778494,0.38346498908567134,-0.4895175784906239,0.3831629107803183,-0.5667055765754092,0.5908650119402822,0.20722275085096717,0.4175920979810541,0.05803709896834804,-0.18426839201507778,-0.15519818349150408,-0.023568805930046094,-0.4098152462600911,-0.09342379525329327
Soccer,2,-1.1217221504141015,0.6341588194481198,-2.1865572378242524,1.073721300680743,-0.8925992266790822,-0.931154526365513,0.051072780490194016,-0.2528176617379675,0.5611854564118625,-0.303150678242773,0.6615908913605132,-0.0671548829257607,-0.044696058205930214,-0.19837407326243064,-0.2220526717048966,-0.5282782131683442,0.36911633941672045
Soccer,0,1.2209009044019665,0.9170061552514558,0.7385939918314088,-1.4465843274979617,-0.06942655196402023,-1.6549290479737495,0.4505505945587834,-0.26839315366465577,-0.6540568181415563,0.8538113972417105,0.4503018124323236,0.5035821286305147,1.5047746408142277,0.5715612922760545,0.7900418969188604,0.743620987204289,0.6313547580559451
Basketball,2,-2.0421062245157624,-0.08031798861579831,0.29137467091692815,-0.19553464192033934,-0.21909627497726744,-1.0496264191626463,-0.09402127488233936,-0.8158147078775464,0.6836199445883443,1.3986174577553723,-1.2587573613102543,0.7279319868986197,-0.0035499000477712053,-1.0574320615222708,0.372718869417287,0.28929211150147943,0.8514914329443772
