Sport_Name,Cluster_2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Cluster_3
football,1,0.4675957711992352,-0.5716611688737312,-0.12892640227794716,-0.1758300482520915,-0.6401301513191426,-0.8587547741280243,-1.7002107010743859,0.7951154389701558,-0.9045828465443759,0.004924956538404566,0.7550990214259371,2
swim,0,-1.0687082779924266,-0.398726347327896,-0.5785251965248712,-1.1154437438307352,0.3998821950687302,0.30259174688388474,-0.6298352607626447,-0.0166344470228784,-0.7491873816530121,-1.0593841546981682,-0.5341034454903181,0
basketball,0,-0.7877667479192367,0.017082362036804303,-0.4466725451919651,-1.898816841709075,0.3261286394994202,-0.4651854529056763,0.7447750946439484,-0.5287063049683202,-0.9344812803486906,0.47477483846979884,0.5976273763329052,0
basketball,0,-3.0715838916949267,1.9171722108261546,0.3920499394738403,0.287448074705599,-0.20781366817513688,-1.2637424029956696,1.173780774343617,1.287127848399127,-0.9214489260190717,0.026702280261730223,-0.6690770032153219,0
soccer,1,1.3345643916452585,-1.4113054263808766,1.1439944396105706,0.21590693795958835,-0.6583062292176017,-0.4607422038213106,-2.275995153866735,0.9971732301801539,0.31725118464768365,0.011236980635148185,-1.1785969843059885,2
football,1,0.09301018467997015,-0.595756225052592,0.1358273859744192,0.6889923969273163,-0.684911774061274,-0.4677902182852029,0.7371316893739875,0.9114908220959167,0.18438934927409292,-0.884163688827529,0.6547948987523324,2
soccer,0,-4.3787546704589,-0.26361773712486375,0.841837892521733,0.021110696056225325,0.1689869817641376,-0.4540718123195359,0.03885759772009118,-0.012996711618733375,-0.6992099159164488,0.3446184831722846,0.8588788305861558,0
tennis,0,-6.074964702416335,0.9185283572177824,-1.0119550320851238,1.5387529208789172,0.38346498906442483,-0.4895175784956204,0.38316291077880577,-0.5667055765749658,0.5908650119410763,0.20722275084789044,0.4175920979777547,0
soccer,0,-1.1217221504159838,0.6341588194533601,-2.186557237807644,1.0737213006996351,-0.8925992267010192,-0.9311545263527552,0.05107278048950973,-0.2528176617388507,0.5611854564126183,-0.30315067824299663,0.6615908913585895,0
soccer,1,1.220900904402965,0.9170061552504999,0.7385939918279111,-1.4465843275084027,-0.06942655201218732,-1.6549290479634717,0.4505505945589036,-0.26839315366498434,-0.654056818140238,0.8538113972419563,0.45030181243584455,2
basketball,0,-2.0421062245159365,-0.0803179886115879,0.291374670923462,-0.1955346419243829,-0.21909627500552478,-1.04962641915489,-0.09402127488380094,-0.8158147078745711,0.6836199445899158,1.3986174577546457,-1.2587573613056766,0
football,1,3.7835802755719135,-0.26607505074808363,-0.43254930019103244,2.007547556784573,0.8696273362457828,0.6169373363491859,-0.017294698611649593,-0.9612709860566176,-0.5432506733528121,-0.509758436629505,1.4211035830667407,2
tennis,0,-3.8744578473985074,-0.9248778296921761,-1.0442569877205727,-0.32971259697150623,0.6707600662448558,0.9952675816383884,-0.3138846561146431,-1.4968635855310453,0.6302145480666557,0.0874244458386893,-0.565362030081764,0
,0,-1.9029526002687724,0.1880886428121614,-1.7416044134857807,2.1609323772278572,-0.5837578218796321,-1.0724102485577878,0.06509262488268355,-0.7702101974179603,0.9261063332075826,-0.6110183983065814,0.853298740561431,0
track,1,0.8309833975553093,-1.8381324226626055,-0.005021156763132683,2.7490154713241672,0.3281884979972452,0.1242446682497706,-0.9245691066734433,0.677615253693812,-1.4946861637728175,-1.034647519911047,2.3647154260351586,2
rowing,0,-0.9566985443508951,-0.09159614960388594,0.14164541626444085,-2.8713639279871845,0.6873372899173809,-0.6375173217263227,0.013926218888053236,0.4311192520786556,0.8563221127438658,-0.8187784951949463,1.1415291430159389,0
,0,-3.41707492695408,-1.4493816110984907,-0.0679643916630238,-0.5693663174396176,0.1541045168622537,-0.29896810373933685,0.8017316737028082,0.5020531962930208,-1.0051097299195408,0.22338100590221796,-0.7662331295906514,0
,0,-0.8177673573695541,-0.7063671323708385,-0.3679743488052078,0.7159194225264139,-0.4609134195018604,-0.2898480331693974,-1.290271594654406,0.027000355405206632,0.5442813419327095,-0.38926111892951415,0.3600078031758048,0
baseball,0,-1.6449265254634535,1.7022287310542,0.36635959486847436,-0.22947443665434272,-2.7697779869316785,1.8991957889724576,0.40223684510384916,-0.6167740100313953,1.6498833409518612,-1.0665625948189794,0.7979921100517433,0
soccer,0,-0.3802214686472572,-0.8612537195891649,1.0624891675542796,0.23968507556601745,-0.4978219455673923,-0.6208355841228718,-0.4455936412065082,-0.8534962433644573,-0.3093903609438777,0.1783871307030076,-0.437041813488855,0
soccer,0,0.0563007190082698,5.826737854793029,0.17934877099592372,-0.5697189738080606,1.6107927391177799,-0.5105897977556796,1.0595522941381323,1.0268535005627395,0.4352200360100994,0.5264375570295076,0.902994085720064,1
track,1,2.8077722232008226,-0.7900545607749987,-0.4479925564540316,1.3309160825055724,-0.4560347197201798,-2.074700812357293,-1.0461324448324303,-1.7737245744656662,1.1809573430408498,2.250330688224882,-0.20249107718035583,2
,1,0.16834104330692445,0.03414940987229713,-0.7237355415115694,-1.0249119135771423,-0.5160820785556377,-1.9022719695419872,1.3472764730230136,0.778928795999261,-1.5765540485593192,-0.2366615634299787,0.15246142204028587,2
bowling,1,3.9646974459639974,-1.4134619903503383,-0.25032526360365465,-0.7325335300727934,0.527218758126703,-1.0751027366880086,1.157046140881281,1.6583130089047264,-0.5336369347903941,0.6291747493970221,0.2693747544633833,2
soccer,0,-2.4172429567148623,0.5625327275352838,0.993295624936108,-2.542703639506734,-2.852812999283155,0.7619118312018112,0.3327807270606319,0.009113347098164259,0.4094620062855454,-0.7431355198459464,0.2353339373252632,0
,1,1.0951113382696755,-0.013294623976976989,1.787890308437277,-2.7799154192453317,-2.9746962085159145,3.1025242321820277,-0.28016064706340144,0.45313791583845253,0.5130964058674682,0.3792897910488635,1.7955741279206363,2
track,0,-5.956684811032118,-1.4755223678844338,0.5620546566440294,1.6873491355185148,-0.27261988744986526,0.3978276653046435,0.13832021141415676,-0.14262397626541498,0.4511597019585992,0.0525868455373607,0.03582506860600709,0
,1,1.954853388502273,-0.5130547069788995,-0.15389998357875448,1.1985348502338469,-0.7404555118522361,0.27030641310110853,1.4592105007502127,0.06960370556186389,0.5116359900112059,0.6669594546832817,-0.5295453971697749,2
