Sport_Name,Cluster_2,PC1,PC2,PC3,PC4,Cluster_2_Label
track,0,-0.22469158166670192,0.3796238833124937,0.9184332811501624,-0.2403160586239592,Contact
football,1,0.8099839390954798,0.10359461107688558,-0.675677147945458,-0.011674164027240122,Collision
volleyball,1,0.49472499332265274,-0.17831029133055126,-0.4096105740614084,0.837453086955512,Collision
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
cheer,1,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,Collision
,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
bowling,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
football,1,0.4932607252771458,0.7925495757263186,0.557784824115523,-0.21927167808901354,Collision
volleyball,1,0.8423019587627686,-0.09177219785202977,0.2770398611218247,-0.3453878963621198,Collision
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
track,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
,1,0.9234616647146633,-0.040067307062563326,-0.5075521291412415,0.9520258506212109,Collision
soccer,1,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,Collision
dance,0,-0.22322731362119472,-0.5912359837443764,-0.048962117026769086,0.8164087064205663,Contact
soccer,1,0.8596896656660078,-0.025493118594893567,-0.575653089008575,0.8815506085893027,Collision
,1,1.2072666311061238,0.061044974883628,0.11099734617465802,-0.3012903747283291,Collision
baseball,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
football,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
swim,0,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,Contact
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
,0,0.18812165086757623,-0.5192720787335248,0.7057892780237977,-0.29595703486515706,Contact
,0,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,Contact
tennis,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
soccer,1,1.2072666311061238,0.061044974883628,0.11099734617465802,-0.3012903747283291,Collision
track,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
hockey,0,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,Contact
,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
tennis,1,1.0195516834306075,-0.2500083044591486,0.5132658397933748,0.6887873603182397,Collision
basketball,1,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,Collision
track,1,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,Collision
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
wrestling,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
volleyball,1,1.3207443567253072,-0.08261694325582085,0.27912236497887444,0.6624096399201218,Collision
tennis,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
wrestling,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
karate,1,0.8596896656660078,-0.025493118594893567,-0.575653089008575,0.8815506085893027,Collision
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
basketball,1,1.0195516834306075,-0.2500083044591486,0.5132658397933748,0.6887873603182397,Collision
,0,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,Contact
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
cross country,1,1.3207443567253072,-0.08261694325582085,0.27912236497887444,0.6624096399201218,Collision
swim,0,0.2378273774381044,-0.6483598084053038,0.8058133369606805,0.5972677377513856,Contact
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
,1,0.8099839390954798,0.10359461107688558,-0.675677147945458,-0.011674164027240122,Collision
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
,0,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,Contact
swim,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
,1,0.3971707065612016,1.002490573122904,-0.46303314481909325,0.04396681221395774,Collision
tennis,0,-0.22322731362119472,-0.5912359837443764,-0.048962117026769086,0.8164087064205663,Contact
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
dance,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
football,1,1.2072666311061238,0.061044974883628,0.11099734617465802,-0.3012903747283291,Collision
soccer,1,0.8423019587627686,-0.09177219785202977,0.2770398611218247,-0.3453878963621198,Collision
volleyball,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
street hockey,1,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,Collision
track,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
soccer,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
football,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
football,1,0.8423019587627686,-0.09177219785202977,0.2770398611218247,-0.3453878963621198,Collision
basketball,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
basketball,1,1.2072666311061238,0.061044974883628,0.11099734617465802,-0.3012903747283291,Collision
basketball,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
soccer,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
soccer,1,0.8423019587627686,-0.09177219785202977,0.2770398611218247,-0.3453878963621198,Collision
volleyball,1,0.8423019587627686,-0.09177219785202977,0.2770398611218247,-0.3453878963621198,Collision
tennis,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
baseball,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
